Solver,Turbulence Model,x$_{sep}$ (m),p$_{peak}$ (kPa),"p$_{peak,loc}$ (m)",q$_{peak}$ (MW/($m^2$)),"q$_{peak,loc}$ (m)"
STAR-CCM+,k-$\omega$ SST,2.343,274.17,2.401,4.368,2.391
Eilmer,k-$\omega$ 2006,2.312,284.88,2.401,5.546,2.401
Ansys Fluent (Aselsan),k-$\omega$ SST,2.303,287.65,2.407,5.23,2.407
Cadence Fidelity,SSC-EARSM,2.336,262.44,2.388,5.619,2.387
,k-$\omega$ SST,2.334,249.79,2.398,5.381,2.388
TAU,EARSM WJ3D+TNT,2.289,293.22,2.418,5.573,2.416
,EARSM WJ+Hellsten,2.31,278.06,2.402,6.273,2.398
,SA-noft2,2.35,251.57,2.387,2.872,2.483
,SA-neg,2.35,251.7,2.387,2.907,2.483
,SSG/LRR-$\omega$ 2010  (SSGLRR-RSM-w2012),2.312,268.66,2.405,5.176,2.409
,k-$\omega$ SST 2003,2.293,278.02,2.417,5.054,2.415
,Wilcox RSM 2010  (WilcoxRSM-w2006),2.303,263.58,2.414,4.689,2.422
,Menter BSL,2.348,246.17,2.39,3.735,2.386
,Wilcox k-$\omega$ 1988,2.35,245.12,2.389,3.9,2.389
,Wilcox k-$\omega$ + SST,2.35,244.98,2.389,3.805,2.388
HyperCODA,SA-neg,2.348,250.89,2.384,2.944,2.43
Ansys Fluent (Ansys Inc),GEKO,2.333,255.86,2.389,4.712,2.387
SU2,k-$\omega$ SST,2.35,243.66,2.393,3.795,2.388
VULCAN,SA,2.349,246.71,2.386,3.073,2.423
,SA 2013 QCR-V,2.325,259.35,2.39,3.928,2.406
,k-$\omega$ SST,2.297,294.16,2.415,5.568,2.414
,k-$\omega$ SST-KL,2.29,294.6,2.421,5.386,2.421
,k-$\omega$ SST-V,2.284,292.94,2.426,5.243,2.425
,k-$\omega$ SST-V no 2/3 rho*k,2.303,287.37,2.407,5.002,2.407
OVERFLOW,k-$\omega$ SST,2.235,323.71,2.476,4.896,2.475
